,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend
0,RELINFRA,EQ,2017-05-15,609.5,606.8,609.35,600.3,604.95,605.4,605.23,1437325,869916495.8,25522,272876,18.98,5,2017,869912209.75,0.0,Slight or No change
1,RELINFRA,EQ,2017-05-16,605.4,606.0,614.2,601.0,609.8,611.05,609.49,1934562,1179087311.0,30765,400984,20.73,5,2017,1179096193.38,0.009332672613148185,Slight positive
2,RELINFRA,EQ,2017-05-17,611.05,607.0,614.2,603.5,605.05,605.25,608.28,1504208,914978534.2,35758,256693,17.06,5,2017,914979642.24,-0.009491858276736709,Slight negative
3,RELINFRA,EQ,2017-05-18,605.25,597.7,601.85,576.15,576.45,578.65,588.48,1963168,1155279223.0,37708,390203,19.88,5,2017,1155285104.64,-0.043948781495249944,Among top losers
4,RELINFRA,EQ,2017-05-19,578.65,578.7,586.35,567.4,571.0,569.55,575.27,1795870,1033103491.0,35619,306193,17.05,5,2017,1033110134.9,-0.01572625939687211,Negative
5,RELINFRA,EQ,2017-05-22,569.55,572.0,575.0,552.75,556.0,555.25,562.68,1392634,783601775.6,29319,185983,13.35,5,2017,783607299.1199999,-0.025107541041172743,Negative
6,RELINFRA,EQ,2017-05-23,555.25,550.1,553.5,522.4,522.4,526.25,532.82,3179920,1694311107.0,56756,600676,18.89,5,2017,1694324974.4,-0.05222872579918958,Among top losers
7,RELINFRA,EQ,2017-05-24,526.25,526.0,529.7,479.2,492.0,493.7,503.49,4611031,2321605544.0,74734,520320,11.28,5,2017,2321607998.19,-0.061852731591448995,Among top losers
8,RELINFRA,EQ,2017-05-25,493.7,495.75,502.85,488.55,495.85,497.15,496.53,2976503,1477937174.0,40255,685204,23.02,5,2017,1477923034.59,0.00698804942272635,Slight positive
9,RELINFRA,EQ,2017-05-26,497.15,496.15,513.95,496.05,508.2,508.5,508.09,2344838,1191395623.0,33768,547816,23.36,5,2017,1191388739.4199998,0.022830131750980698,Positive
10,RELINFRA,EQ,2017-05-29,508.5,506.0,506.0,445.6,454.3,451.95,466.94,5113595,2387719101.0,88914,861145,16.84,5,2017,2387742049.3,-0.11120943952802365,Bear drop
11,RELINFRA,EQ,2017-05-30,451.95,453.95,470.8,436.2,463.1,462.0,459.37,4198597,1928711217.0,65104,312264,7.44,5,2017,1928709503.89,0.022236973116495307,Positive
12,RELINFRA,EQ,2017-05-31,462.0,464.0,484.0,455.25,480.8,478.9,470.56,5799887,2729195043.0,80462,1294401,22.32,5,2017,2729194826.72,0.03658008658008649,Among top gainers
13,RELINFRA,EQ,2017-06-01,478.9,481.0,487.9,475.2,477.85,479.6,481.61,2584206,1244574504.0,38796,227711,8.81,6,2017,1244579451.66,0.001461683023595839,Slight or No change
14,RELINFRA,EQ,2017-06-02,479.6,482.1,490.7,478.65,485.15,484.05,484.88,2517358,1220604072.0,41140,511152,20.31,6,2017,1220616547.04,0.009278565471225964,Slight positive
15,RELINFRA,EQ,2017-06-05,484.05,491.3,498.5,489.25,491.5,492.3,493.68,2178491,1075478230.0,42944,392749,18.03,6,2017,1075477436.88,0.017043693833281637,Positive
16,RELINFRA,EQ,2017-06-06,492.3,496.45,496.85,470.9,480.7,480.15,480.85,2543392,1222999514.0,42291,475996,18.72,6,2017,1222990043.2,-0.02468007312614262,Negative
17,RELINFRA,EQ,2017-06-07,480.15,479.25,491.5,476.05,488.0,488.6,484.27,2814064,1362780526.0,43628,198945,7.07,6,2017,1362766773.28,0.017598667083203345,Positive
18,RELINFRA,EQ,2017-06-08,488.6,489.9,491.9,478.2,478.65,480.95,484.24,1959745,948989990.4,52147,517020,26.38,6,2017,948986918.8000001,-0.01565697912402786,Negative
19,RELINFRA,EQ,2017-06-09,480.95,478.9,478.9,466.6,473.6,473.95,471.82,2465174,1163116402.0,38166,579770,23.52,6,2017,1163118396.68,-0.01455452749766084,Negative
20,RELINFRA,EQ,2017-06-12,473.95,467.9,477.9,467.0,471.0,471.85,472.94,1476969,698516764.2,26489,177803,12.04,6,2017,698517718.86,-0.004430847135773797,Slight or No change
21,RELINFRA,EQ,2017-06-13,471.85,470.1,479.5,465.5,467.0,470.2,473.54,1878876,889718325.1,31616,279165,14.86,6,2017,889722941.0400001,-0.00349687400656995,Slight or No change
22,RELINFRA,EQ,2017-06-14,470.2,469.8,476.55,462.75,474.6,473.95,469.76,2245218,1054717443.0,33547,191090,8.51,6,2017,1054713607.68,0.007975329646958684,Slight positive
23,RELINFRA,EQ,2017-06-15,473.95,472.9,479.4,470.75,474.0,475.85,475.65,1527861,726721640.7,22896,206956,13.55,6,2017,726727084.65,0.004008861694271726,Slight or No change
24,RELINFRA,EQ,2017-06-16,475.85,477.0,485.6,475.0,478.0,479.55,480.61,1904792,915467315.4,29501,273514,14.36,6,2017,915462083.12,0.0077755595250603715,Slight positive
25,RELINFRA,EQ,2017-06-19,479.55,481.1,486.5,480.5,486.0,484.65,484.16,1275237,617424186.9,19766,157651,12.36,6,2017,617418745.9200001,0.010634970284641776,Positive
26,RELINFRA,EQ,2017-06-20,484.65,487.0,489.5,478.0,480.4,479.95,482.88,1194474,576784920.2,18323,188356,15.77,6,2017,576787605.12,-0.00969772000412672,Slight negative
27,RELINFRA,EQ,2017-06-21,479.95,477.7,493.8,477.5,490.25,490.2,488.29,2101331,1026060364.0,31922,480858,22.88,6,2017,1026058913.99,0.021356391290759502,Positive
28,RELINFRA,EQ,2017-06-22,490.2,492.9,506.0,490.5,494.0,493.6,498.75,2813820,1403399343.0,46298,244837,8.7,6,2017,1403392725.0,0.006935944512443948,Slight positive
29,RELINFRA,EQ,2017-06-23,493.6,494.0,509.45,486.25,503.5,503.85,500.41,3163984,1583279342.0,46374,259203,8.19,6,2017,1583289233.44,0.020765802269043787,Positive
30,RELINFRA,EQ,2017-06-27,503.85,505.1,508.9,491.1,503.3,503.55,502.17,2320156,1165101443.0,41476,163540,7.05,6,2017,1165112738.52,-0.0005954153021733299,Slight or No change
