,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend,Daily Return,SMA21,SMA34,average,std,Upper band,Lower band
0,0,RELINFRA,EQ,2017-05-15,609.5,606.8,609.35,600.3,604.95,605.4,605.23,1437325,869916495.8,25522,272876,18.98,5,2017,869912209.75,0.0,Slight or No change,-0.002307185234014465,,,,,,
1,1,RELINFRA,EQ,2017-05-16,605.4,606.0,614.2,601.0,609.8,611.05,609.49,1934562,1179087311.0,30765,400984,20.73,5,2017,1179096193.38,0.009332672613148185,Slight positive,0.008333333333333259,,,,,,
2,2,RELINFRA,EQ,2017-05-17,611.05,607.0,614.2,603.5,605.05,605.25,608.28,1504208,914978534.2,35758,256693,17.06,5,2017,914979642.24,-0.009491858276736707,Slight negative,-0.002883031301482702,,,,,,
3,3,RELINFRA,EQ,2017-05-18,605.25,597.7,601.85,576.15,576.45,578.65,588.48,1963168,1155279223.0,37708,390203,19.88,5,2017,1155285104.64,-0.04394878149524994,Among top losers,-0.03187217667726295,,,,,,
4,4,RELINFRA,EQ,2017-05-19,578.65,578.7,586.35,567.4,571.0,569.55,575.27,1795870,1033103491.0,35619,306193,17.05,5,2017,1033110134.9,-0.01572625939687211,Negative,-0.015811301192327785,,,,,,
5,5,RELINFRA,EQ,2017-05-22,569.55,572.0,575.0,552.75,556.0,555.25,562.68,1392634,783601775.6,29319,185983,13.35,5,2017,783607299.1199999,-0.025107541041172743,Negative,-0.029283216783216784,,,,,,
6,6,RELINFRA,EQ,2017-05-23,555.25,550.1,553.5,522.4,522.4,526.25,532.82,3179920,1694311107.0,56756,600676,18.89,5,2017,1694324974.4,-0.05222872579918958,Among top losers,-0.04335575349936379,,,,,,
7,7,RELINFRA,EQ,2017-05-24,526.25,526.0,529.7,479.2,492.0,493.7,503.49,4611031,2321605544.0,74734,520320,11.28,5,2017,2321607998.19,-0.061852731591449,Among top losers,-0.0614068441064639,,,,,,
8,8,RELINFRA,EQ,2017-05-25,493.7,495.75,502.85,488.55,495.85,497.15,496.53,2976503,1477937174.0,40255,685204,23.02,5,2017,1477923034.59,0.00698804942272635,Slight positive,0.002824004034291432,,,,,,
9,9,RELINFRA,EQ,2017-05-26,497.15,496.15,513.95,496.05,508.2,508.5,508.09,2344838,1191395623.0,33768,547816,23.36,5,2017,1191388739.4199998,0.022830131750980698,Positive,0.024891665826866922,,,,,,
